Date,SP500,DAX,KOSPI,NIKKEI,HSCEI,GOLD
2023-06-14,4372.58984375,16310.7900390625,2619.080078125,33502.421875,6576.7900390625,180.63999938964844
2023-06-15,4425.83984375,16290.1201171875,2608.5400390625,33485.48828125,6772.60986328125,181.91000366210938
2023-06-16,4409.58984375,16357.6298828125,2625.7900390625,33706.078125,6833.0,181.6300048828125
2023-06-20,4388.7099609375,16111.3203125,2604.909912109375,33388.91015625,6654.93994140625,179.75
2023-06-21,4365.68994140625,16023.1298828125,2582.6298828125,33575.140625,6505.81005859375,179.49000549316406
2023-06-23,4348.330078125,15829.9404296875,2570.10009765625,32781.5390625,6394.5400390625,178.1999969482422
2023-06-26,4328.81982421875,15813.0595703125,2582.199951171875,32698.810546875,6372.18994140625,178.50999450683594
2023-06-27,4378.41015625,15846.8603515625,2581.389892578125,32538.330078125,6504.6201171875,177.69000244140625
2023-06-28,4376.85986328125,15949.0,2564.18994140625,33193.98828125,6521.22021484375,177.27999877929688
2023-06-29,4396.43994140625,15946.7197265625,2550.02001953125,33234.140625,6426.58984375,177.08999633789062
2023-06-30,4450.3798828125,16147.900390625,2564.280029296875,33189.0390625,6424.8798828125,178.27000427246094
2023-07-03,4455.58984375,16081.0400390625,2602.469970703125,33753.328125,6590.81982421875,178.47000122070312
2023-07-05,4446.81982421875,15937.580078125,2579.0,33338.69921875,6489.93994140625,177.83999633789062
2023-07-06,4411.58984375,15528.5400390625,2556.2900390625,32773.01953125,6268.52978515625,177.30999755859375
2023-07-07,4398.9501953125,15603.400390625,2526.7099609375,32388.419921875,6198.85986328125,178.63999938964844
2023-07-10,4409.52978515625,15673.16015625,2520.699951171875,32189.73046875,6235.240234375,178.77999877929688
2023-07-11,4439.259765625,15790.33984375,2562.489990234375,32203.5703125,6295.85009765625,179.4499969482422
2023-07-12,4472.16015625,16023.0,2574.719970703125,31943.9296875,6377.990234375,181.8800048828125
2023-07-13,4510.0400390625,16141.0302734375,2591.22998046875,32419.330078125,6543.91015625,182.00999450683594
2023-07-14,4505.419921875,16105.0703125,2628.300048828125,32391.259765625,6558.8798828125,181.42999267578125
2023-07-18,4554.97998046875,16125.490234375,2607.6201171875,32493.890625,6400.08984375,183.63999938964844
2023-07-19,4565.72021484375,16108.9296875,2608.239990234375,32896.03125,6381.93994140625,183.6699981689453
2023-07-20,4534.8701171875,16204.2197265625,2600.22998046875,32490.51953125,6364.1201171875,182.74000549316406
2023-07-21,4536.33984375,16177.2197265625,2609.760009765625,32304.25,6415.02001953125,182.17999267578125
2023-07-24,4554.64013671875,16190.9501953125,2628.530029296875,32700.939453125,6271.02978515625,181.39999389648438
2023-07-25,4567.4599609375,16211.58984375,2636.4599609375,32682.509765625,6604.2001953125,182.41000366210938
2023-07-26,4566.75,16131.4599609375,2592.360107421875,32668.33984375,6549.18994140625,183.3000030517578
2023-07-27,4537.41015625,16406.029296875,2603.81005859375,32891.16015625,6670.68017578125,180.4199981689453
2023-07-28,4582.22998046875,16469.75,2608.320068359375,32759.23046875,6808.47021484375,181.86000061035156
2023-07-31,4588.9599609375,16446.830078125,2632.580078125,33172.21875,6899.31005859375,182.35000610351562
2023-08-01,4576.72998046875,16240.400390625,2667.070068359375,33476.578125,6854.52001953125,180.4600067138672
2023-08-02,4513.39013671875,16020.01953125,2616.469970703125,32707.689453125,6669.3701171875,179.60000610351562
2023-08-03,4501.89013671875,15893.3798828125,2605.389892578125,32159.279296875,6652.16015625,179.5399932861328
2023-08-04,4478.02978515625,15951.8603515625,2602.800048828125,32192.75,6732.580078125,180.19000244140625
2023-08-07,4518.43994140625,15950.759765625,2580.7099609375,32254.560546875,6734.31005859375,179.77999877929688
2023-08-08,4499.3798828125,15774.9296875,2573.97998046875,32377.2890625,6587.75,178.63999938964844
2023-08-09,4467.7099609375,15852.580078125,2605.1201171875,32204.330078125,6613.22998046875,177.7899932861328
2023-08-10,4468.830078125,15996.51953125,2601.56005859375,32473.650390625,6628.5498046875,177.60000610351562
2023-08-14,4489.72021484375,15904.25,2570.8701171875,32059.91015625,6423.83984375,177.05999755859375
2023-08-16,4404.330078125,15789.4501953125,2525.639892578125,31766.8203125,6272.85986328125,175.57000732421875
2023-08-17,4370.35986328125,15676.900390625,2519.85009765625,31626.0,6292.330078125,175.3000030517578
2023-08-18,4369.7099609375,15574.259765625,2504.5,31450.759765625,6146.990234375,175.3300018310547
2023-08-21,4399.77001953125,15603.2802734375,2508.800048828125,31565.640625,6030.64013671875,175.80999755859375
2023-08-22,4387.5498046875,15705.6201171875,2515.739990234375,31856.7109375,6097.58984375,176.10000610351562
2023-08-23,4436.009765625,15728.41015625,2505.5,32010.259765625,6117.27001953125,177.88999938964844
2023-08-24,4376.31005859375,15621.490234375,2537.679931640625,32287.2109375,6267.9501953125,177.85000610351562
2023-08-25,4405.7099609375,15631.8203125,2519.139892578125,31624.279296875,6175.2900390625,177.6199951171875
2023-08-28,4433.31005859375,15792.6103515625,2543.409912109375,32169.990234375,6246.22021484375,178.1300048828125
2023-08-29,4497.6298828125,15930.8798828125,2552.159912109375,32226.970703125,6386.7998046875,179.8699951171875
2023-08-30,4514.8701171875,15891.9296875,2561.219970703125,32333.4609375,6356.5,180.32000732421875
2023-08-31,4507.66015625,15947.080078125,2556.27001953125,32619.33984375,6332.419921875,180.02000427246094
2023-09-05,4496.830078125,15771.7099609375,2582.179931640625,33036.76171875,6396.759765625,178.63999938964844
2023-09-06,4465.47998046875,15741.3701171875,2563.340087890625,33241.01953125,6403.7001953125,177.8300018310547
2023-09-07,4451.14013671875,15718.66015625,2548.260009765625,32991.078125,6314.669921875,178.02000427246094
2023-09-11,4487.4599609375,15800.990234375,2556.8798828125,32467.759765625,6298.72021484375,178.41000366210938
2023-09-12,4461.89990234375,15715.5302734375,2536.580078125,32776.37109375,6260.18994140625,177.49000549316406
2023-09-13,4467.43994140625,15654.0302734375,2534.699951171875,32706.51953125,6235.7099609375,177.0800018310547
2023-09-14,4505.10009765625,15805.2900390625,2572.889892578125,33168.1015625,6275.14990234375,177.1699981689453
2023-09-15,4450.31982421875,15893.5302734375,2601.280029296875,33533.08984375,6309.58984375,178.33999633789062
2023-09-19,4443.9501953125,15664.48046875,2559.2099609375,33242.58984375,6235.64990234375,179.22000122070312
2023-09-20,4402.2001953125,15781.58984375,2559.739990234375,33023.78125,6181.72998046875,179.35000610351562
2023-09-21,4330.0,15571.8603515625,2514.969970703125,32571.029296875,6099.259765625,178.0500030517578
2023-09-22,4320.06005859375,15557.2900390625,2508.1298828125,32402.41015625,6262.60986328125,178.6199951171875
2023-09-25,4337.43994140625,15405.490234375,2495.760009765625,32678.619140625,6130.25,177.6999969482422
2023-09-26,4273.52978515625,15255.8701171875,2462.969970703125,32315.05078125,6030.77001953125,176.27999877929688
2023-09-27,4274.509765625,15217.4501953125,2465.070068359375,32371.900390625,6069.83984375,174.10000610351562
2023-10-04,4263.75,15099.919921875,2405.68994140625,30526.880859375,5882.68017578125,169.13999938964844
2023-10-05,4258.18994140625,15070.2197265625,2403.60009765625,31075.359375,5887.97998046875,168.8300018310547
2023-10-06,4308.5,15229.76953125,2408.72998046875,30994.669921875,5974.2998046875,169.6999969482422
2023-10-10,4358.240234375,15423.51953125,2402.580078125,31746.529296875,6052.509765625,172.52999877929688
2023-10-11,4376.9501953125,15460.009765625,2450.080078125,31936.509765625,6132.8701171875,173.7899932861328
2023-10-12,4349.60986328125,15425.0302734375,2479.820068359375,32494.66015625,6267.33984375,173.25999450683594
2023-10-13,4327.77978515625,15186.66015625,2456.14990234375,32315.990234375,6115.8798828125,178.8300018310547
2023-10-16,4373.6298828125,15237.990234375,2436.239990234375,31659.029296875,6049.81982421875,177.9600067138672
2023-10-17,4373.2001953125,15251.6904296875,2460.169921875,32040.2890625,6092.5498046875,178.2899932861328
2023-10-18,4314.60009765625,15094.91015625,2462.60009765625,32042.25,6075.68017578125,180.8699951171875
2023-10-19,4278.0,15045.23046875,2415.800048828125,31430.619140625,5924.22998046875,183.08999633789062
2023-10-20,4224.16015625,14798.4697265625,2375.0,31259.359375,5871.7099609375,183.58999633789062
2023-10-24,4247.68017578125,14879.9404296875,2383.510009765625,31062.349609375,5799.3798828125,182.9499969482422
2023-10-25,4186.77001953125,14892.1796875,2363.169921875,31269.919921875,5853.97021484375,183.72000122070312
2023-10-26,4137.22998046875,14731.0498046875,2299.080078125,30601.779296875,5859.5498046875,184.00999450683594
2023-10-27,4117.3701171875,14687.41015625,2302.81005859375,30991.689453125,5979.009765625,186.14999389648438
2023-10-30,4166.81982421875,14716.5400390625,2310.550048828125,30696.9609375,5960.330078125,185.10000610351562
2023-10-31,4193.7998046875,14810.33984375,2277.989990234375,30858.849609375,5861.740234375,184.08999633789062
2023-11-01,4237.85986328125,14923.26953125,2301.56005859375,31601.650390625,5859.56982421875,183.50999450683594
2023-11-02,4317.77978515625,15143.599609375,2343.1201171875,31949.890625,5911.080078125,184.1199951171875
2023-11-06,4365.97998046875,15135.9697265625,2502.3701171875,32708.48046875,6182.0498046875,183.35000610351562
2023-11-07,4378.3798828125,15152.6396484375,2443.9599609375,32271.8203125,6087.10009765625,182.58999633789062
2023-11-08,4382.77978515625,15229.599609375,2421.6201171875,32166.48046875,6039.91015625,180.77000427246094
2023-11-09,4347.35009765625,15352.5400390625,2427.080078125,32646.4609375,6030.259765625,181.49000549316406
2023-11-10,4415.240234375,15234.3896484375,2409.659912109375,32568.109375,5900.81982421875,179.50999450683594
2023-11-13,4411.5498046875,15345.0,2403.760009765625,32585.109375,5989.10009765625,180.50999450683594
2023-11-14,4495.7001953125,15614.4296875,2433.25,32695.9296875,5964.5400390625,182.1199951171875
2023-11-15,4502.8798828125,15748.169921875,2486.669921875,33519.69921875,6204.22021484375,181.63999938964844
2023-11-16,4508.240234375,15786.6103515625,2488.179931640625,33424.41015625,6116.7001953125,183.69000244140625
2023-11-17,4514.02001953125,15919.16015625,2469.85009765625,33585.19921875,5974.47021484375,183.6699981689453
2023-11-20,4547.3798828125,15901.330078125,2491.199951171875,33388.03125,6103.33984375,183.3699951171875
2023-11-21,4538.18994140625,15900.5302734375,2510.419921875,33354.140625,6076.669921875,185.35000610351562
2023-11-22,4556.6201171875,15957.8203125,2511.699951171875,33451.828125,6074.830078125,184.55999755859375
2023-11-24,4559.33984375,16029.490234375,2496.6298828125,33625.53125,6041.14990234375,185.52000427246094
2023-11-27,4550.43017578125,15966.3701171875,2495.659912109375,33447.671875,6025.22021484375,186.77000427246094
2023-11-28,4554.89013671875,15992.669921875,2521.760009765625,33408.390625,5957.080078125,189.25999450683594
2023-11-29,4550.580078125,16166.4501953125,2519.81005859375,33321.21875,5818.8701171875,189.5399932861328
2023-11-30,4567.7998046875,16215.4296875,2535.2900390625,33486.890625,5857.5400390625,188.75
